"Date","AQS_SITE_ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2016","120010023","1","3.4","ug/m3 LC","14","1","100.0000","88101","PM2.5 - Local Conditions","23540","Gainesville, FL","12","Florida","001","Alachua","29.7061110008127","-82.387778"
"01/04/2016","120010023","1","5.2","ug/m3 LC","22","1","100.0000","88101","PM2.5 - Local Conditions","23540","Gainesville, FL","12","Florida","001","Alachua","29.7061110008127","-82.387778"
"01/07/2016","120010023","1","7.3","ug/m3 LC","30","1","100.0000","88101","PM2.5 - Local Conditions","23540","Gainesville, FL","12","Florida","001","Alachua","29.7061110008127","-82.387778"
"01/10/2016","120010023","1","4.5","ug/m3 LC","19","1","100.0000","88101","PM2.5 - Local Conditions","23540","Gainesville, FL","12","Florida","001","Alachua","29.7061110008127","-82.387778"
"01/13/2016","120010023","1","10.7","ug/m3 LC","45","1","100.0000","88101","PM2.5 - Local Conditions","23540","Gainesville, FL","12","Florida","001","Alachua","29.7061110008127","-82.387778"
"01/16/2016","120010023","1","3.9","ug/m3 LC","16","1","100.0000","88101","PM2.5 - Local Conditions","23540","Gainesville, FL","12","Florida","001","Alachua","29.7061110008127","-82.387778"
"01/19/2016","120010023","1","6.3","ug/m3 LC","26","1","100.0000","88101","PM2.5 - Local Conditions","23540","Gainesville, FL","12","Florida","001","Alachua","29.7061110008127","-82.387778"
"01/22/2016","120010023","1","3.4","ug/m3 LC","14","1","100.0000","88101","PM2.5 - Local Conditions","23540","Gainesville, FL","12","Florida","001","Alachua","29.7061110008127","-82.387778"
"01/25/2016","120010023","1","14.9","ug/m3 LC","57","1","100.0000","88101","PM2.5 - Local Conditions","23540","Gainesville, FL","12","Florida","001","Alachua","29.7061110008127","-82.387778"
"01/28/2016","120010023","1","7.2","ug/m3 LC","30","1","100.0000","88101","PM2.5 - Local Conditions","23540","Gainesville, FL","12","Florida","001","Alachua","29.7061110008127","-82.387778"
"01/31/2016","120010023","1","14.1","ug/m3 LC","55","1","100.0000","88101","PM2.5 - Local Conditions","23540","Gainesville, FL","12","Florida","001","Alachua","29.7061110008127","-82.387778"
"02/03/2016","120010023","1","4.5","ug/m3 LC","19","1","100.0000","88101","PM2.5 - Local Conditions","23540","Gainesville, FL","12","Florida","001","Alachua","29.7061110008127","-82.387778"
"02/06/2016","120010023","1","4.2","ug/m3 LC","18","1","100.0000","88101","PM2.5 - Local Conditions","23540","Gainesville, FL","12","Florida","001","Alachua","29.7061110008127","-82.387778"
"02/09/2016","120010023","1","4","ug/m3 LC","17","1","100.0000","88101","PM2.5 - Local Conditions","23540","Gainesville, FL","12","Florida","001","Alachua","29.7061110008127","-82.387778"
"02/12/2016","120010023","1","3.9","ug/m3 LC","16","1","100.0000","88101","PM2.5 - Local Conditions","23540","Gainesville, FL","12","Florida","001","Alachua","29.7061110008127","-82.387778"
"02/15/2016","120010023","1","6.6","ug/m3 LC","28","1","100.0000","88101","PM2.5 - Local Conditions","23540","Gainesville, FL","12","Florida","001","Alachua","29.7061110008127","-82.387778"
"02/18/2016","120010023","1","7.3","ug/m3 LC","30","1","100.0000","88101","PM2.5 - Local Conditions","23540","Gainesville, FL","12","Florida","001","Alachua","29.7061110008127","-82.387778"
